Area_sqft,Bedrooms,Bathrooms,Stories,Parking,Age_years,Location,Furnishing,Road_access,Guestroom,Basement,Hot_water,AC,Preferred_area,Price
1360,4,1,3,2,41,Westside,Unfurnished,No,Yes,No,Yes,Yes,No,322503.55
4272,3,1,2,0,39,Southend,Semi-Furnished,No,No,No,Yes,No,No,662304.12
3592,6,3,2,3,49,Southend,Unfurnished,Yes,No,Yes,No,Yes,No,632328.2
966,4,3,1,3,34,Northend,Unfurnished,Yes,No,Yes,Yes,Yes,No,303443.47
4926,1,4,1,3,0,Rural,Unfurnished,Yes,No,Yes,Yes,Yes,No,650216.55
3944,4,3,2,3,2,Midtown,Semi-Furnished,Yes,No,No,Yes,No,No,1026602.89
3671,1,2,2,1,47,Downtown,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,No,949451.66
3419,3,1,2,3,8,Downtown,Semi-Furnished,No,No,No,No,No,Yes,1054771.25
630,6,3,3,2,29,Midtown,Semi-Furnished,Yes,No,Yes,No,Yes,No,444567.56
2185,3,2,1,1,20,Lakeview,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,747463.67
1269,4,2,3,3,15,Midtown,Furnished,Yes,No,No,Yes,No,Yes,772992.94
2891,5,4,2,2,38,Rural,Unfurnished,Yes,No,No,Yes,No,No,365371.37
2933,6,1,1,1,45,Uptown,Unfurnished,No,No,No,No,No,Yes,669084.68
1684,6,2,2,3,10,Lakeview,Furnished,Yes,Yes,Yes,No,Yes,No,1095313.84
5055,3,3,3,2,27,Midtown,Semi-Furnished,No,No,No,Yes,Yes,No,1176853.12
3885,4,1,1,3,20,Lakeview,Furnished,Yes,Yes,Yes,No,Yes,No,1225871.14
4617,2,3,1,1,44,Eastside,Furnished,Yes,No,No,Yes,No,No,675634.26
3404,1,3,2,2,47,Uptown,Unfurnished,Yes,No,No,Yes,No,No,618866.99
974,2,2,2,0,44,Northend,Semi-Furnished,Yes,No,No,No,Yes,Yes,236352.73
1582,2,4,3,0,10,Uptown,Furnished,Yes,Yes,No,Yes,Yes,No,665970.67
3058,2,1,3,0,24,Suburban,Furnished,Yes,No,Yes,Yes,No,Yes,552127.55
2547,4,4,3,0,32,Downtown,Furnished,Yes,No,No,Yes,No,No,797985.55
3247,3,2,1,3,23,Midtown,Unfurnished,Yes,No,Yes,Yes,No,Yes,823660.42
1475,6,4,2,0,35,Downtown,Furnished,Yes,No,Yes,No,Yes,No,791875.5
2306,2,2,1,0,36,Lakeview,Furnished,No,Yes,No,Yes,Yes,No,467666.13
689,4,3,1,1,11,Downtown,Furnished,Yes,Yes,Yes,Yes,Yes,No,515745.6
3234,3,3,1,2,13,Downtown,Unfurnished,No,No,No,No,Yes,Yes,972236.04
3505,1,2,1,2,28,Southend,Semi-Furnished,No,Yes,Yes,Yes,No,Yes,680238.95
5158,3,3,3,2,43,Eastside,Unfurnished,Yes,No,No,Yes,Yes,Yes,873447.74
2399,3,2,3,3,47,Downtown,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,645049.43
1767,2,1,2,1,3,Lakeview,Furnished,No,No,Yes,No,Yes,Yes,726220.04
2028,4,3,2,0,39,Eastside,Unfurnished,Yes,Yes,No,Yes,No,Yes,435864.98
3702,6,3,2,3,2,Eastside,Unfurnished,Yes,Yes,No,Yes,Yes,No,809965.64
4056,5,2,3,0,30,Uptown,Furnished,Yes,No,No,Yes,No,No,964124.94
4390,1,2,1,2,28,Downtown,Semi-Furnished,Yes,Yes,No,Yes,Yes,Yes,1363794.91
1146,4,3,1,1,33,Uptown,Furnished,Yes,No,No,No,Yes,No,432092.0
3388,6,1,1,2,42,Westside,Furnished,No,Yes,No,Yes,No,No,642871.89
2935,2,3,2,2,4,Eastside,Unfurnished,Yes,No,No,Yes,Yes,No,596489.69
1100,4,2,2,3,9,Downtown,Furnished,Yes,Yes,No,No,No,No,668607.96
2863,6,1,1,1,45,Suburban,Semi-Furnished,Yes,Yes,No,No,No,Yes,478599.53
2561,5,1,1,0,21,Rural,Unfurnished,No,No,No,No,No,No,296074.43
741,1,1,2,2,37,Eastside,Furnished,Yes,No,No,Yes,No,No,162716.76
2541,3,4,3,0,37,Rural,Unfurnished,Yes,Yes,No,No,Yes,Yes,495483.75
3324,6,4,2,3,47,Lakeview,Furnished,Yes,No,Yes,Yes,Yes,No,1259227.38
3112,1,2,2,3,35,Midtown,Furnished,No,No,Yes,Yes,Yes,No,771411.06
1863,5,3,1,1,20,Southend,Furnished,Yes,No,No,Yes,No,No,412701.97
1978,1,3,1,0,1,Uptown,Semi-Furnished,Yes,No,No,No,Yes,Yes,741433.68
3056,6,4,1,3,35,Northend,Unfurnished,Yes,No,No,No,No,Yes,592536.36
1275,1,1,2,0,12,Downtown,Semi-Furnished,Yes,No,No,No,Yes,No,402825.44
4514,2,4,1,1,4,Northend,Unfurnished,Yes,Yes,Yes,No,Yes,No,601639.35
534,3,3,2,2,30,Westside,Furnished,Yes,No,Yes,Yes,No,Yes,341206.52
3652,5,2,3,1,1,Downtown,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,1399498.31
